N,A_com,omega_c_com
2,12.258342263080962,0.04217722492079587
4,8.737385676415249,0.041801239789827346
8,6.169828762534188,0.041959942831089204
16,4.428605368944494,0.040711485344490636
32,3.1328731955722406,0.04063459338791004
64,2.2063740360999637,0.040871956302344734
128,1.5685861873603524,0.04043835022674688
